Timestamp,Program Studi,Tahun Masuk UIN Jakarta,Tahun Wisuda,Bulan Wisuda,Status saat ini,Waktu Mendapatkan Pekerjaan,Perusahaan,Posisi,Tahun Wirausaha,Bidang wirausaha,Penghasilan,Tahun Masuk S2,Universitas S2,Tahun Masuk S3,Universitas S3,Nama Prodi S2/S3,Kesesuaian Kurikulum,Kesesuaian Bidang Ilmu,Saran
7/1/2024 8:52,Prodi Teknik Informatika,2016,2021,Mei,ASN/PNS,3,Kementerian Luar Negeri RI,PPPK - Pranata Komputer Ahli Pertama,,,9000000,,,,,,5,5,"Akan lebih baik jika diperbanyak program magang atau semacam career expo, untuk memfasilitasi para mahasiswa/i dalam mengenali dunia kerja & skill yang diperlukan sejak dini. Terima kasih ^^"
7/1/2024 11:12,Prodi Teknik Informatika,2016,2023,Agustus,,3,,PMO,,,,,,,,,4,4,
7/1/2024 12:41,Prodi Teknik Informatika,2018,2023,Februari,Karyawan Swasta,3,PT. BNI Life Insurance,Staff Data Warehouse Developer,,,6000000,,,,,,3,4,"Kurikulun disesuaikan dengan kebutuhan lapangan kerja, disesuaikan dengan bootcamp-bootcamp juga baik"
7/1/2024 12:43,Prodi Teknik Informatika,2020,2024,Agustus,Freelance,3,,Co-Founder dan Free Lancer,,STEM Education dan Software Development,5000000,,,,,,3,3,
7/1/2024 15:39,Prodi Teknik Informatika,2019,2023,November,Freelance,3,FST UIN Jakarta,Asisten Dekan,,,1000000,,,,,,5,5,Keterlibatan alumni lebih ditingkatkan dalam memberikan seminar atau sharing session sangat membantu mahasiswa mendapatkan gambaran dunia kerja dan membangun networking.
7/1/2024 18:45,Prodi Biologi,2019,2023,Agustus,Karyawan Swasta,3,Jagat Satwa Nusantara TMII dikelola oleh PT Dyandra Mitra Indah,"Research and Development, Konservasi ",,,5000000,,,,,,3,3,"Lebih banyak praktek / fieldtrip karena disitu pasti mendapatkan manajemen resiko, management waktu, inisiatif sesama temen, team work yang solid, dan kreatif. Di lingkungan kerja dipakai itu."
7/1/2024 18:52,Prodi Biologi,2019,2024,Juni,Melamar Pekerjaan,,,,,,,,,,,,3,3,"Perlu ada peninjauan kembali terhadap kurikulum untuk memastikan materi yang diajarkan telah sesuai dengan kebutuhan industri dengan topik seperti:
Kontrol kualitas,
Analis riset,
Analisis Bahaya dan Titik Kendali Kritis (HACCP),
ISO 22000 tentang manajemen keamanan pangan,
Praktek Manufaktur yang Baik (GMP),
Praktik Laboratorium yang Baik (GLP)
Prosedur Operasi Standar Sanitasi (SSOP),
Alur proses produksi produk biologi.
Harapannya, materi ini dapat menambah nilai saing bagi mahasiswa lulusan biologi."
7/1/2024 18:53,Prodi Biologi,2019,2023,Agustus,Karyawan Swasta,3,The Antheia Project,Project Officer,,,7000000,,,,,,5,5,Semakin maju dan mengembangkan banyak bakat orang tua
7/1/2024 19:38,Prodi Biologi,2019,2023,November,Pengajar,3,SMP BINA SEJAHTERA DAN PT GOODSALE TECH ,Guru dan Host Live Streaming ,,,5000000,,,,,,4,4,Semoga pengembangan nya makin keren lagi dan semoga semakin lancar dalam pengurusan pendaftaran wisuda aamiin
7/1/2024 20:56,Prodi Biologi,2019,2023,November,Karyawan Swasta,3,PT. Alpen Food Industry,Analis laboratorium,,,6000000,,,,,,4,5,Mohon diadakan grup/kelompok untuk pengembangan karir alumni2
